Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
1998-09-05,PH-VRW,,,,,,,,,,115,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,115,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc DBO + t/goÂ´s EHHO
1998-09-10,PH-SKF,,,,,,,,,,140,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,140,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc DBO + t/goÂ´s EHTX
1998-09-13,PH-BVL,,,,,,,,,,80,0,0,0,,0,,,,2,2,0,0,2,0,0,0.0,0.0,,,0,,,,,,,80,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc + xwind landing
1998-09-22,PH-VRW,,,,,,,,,,70,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,70,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s xwind
1998-09-26,PH-VRW,,,,,,,,,,65,40,0,0,,0,,,,9,9,0,0,9,0,0,0.0,0.0,,,0,,,,,,,25,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s + solo t/goÂ´s
1998-09-30,PH-VRW,,,,,,,,,,45,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,45,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xwind t/goÂ´s
1998-10-03,PH-VRW,,,,,,,,,,125,125,0,0,,0,,,,2,2,0,0,2,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,,,,,,,,,,,,,,,,,,solo x-c
1998-10-10,PH-VRW,,,,,,,,,,200,0,0,0,,0,,,,4,4,0,0,4,0,0,0.0,0.0,,,0,,,,,,,200,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,ok for solo triangle
1998-10-14,PH-BVL,,,,,,,,,,55,0,0,0,,0,,,,6,6,0,0,6,0,0,0.0,0.0,,,0,,,,,,,55,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,checkout C172
1998-10-31,PH-VRW,,,,,,,,,,85,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,85,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,examentraining A1
1998-11-04,PH-VRW,,,,,,,,,,75,0,0,0,,0,,,,5,5,0,0,5,0,0,0.0,0.0,,,0,,,,,,,75,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,intro imc + t/goÂ´s
1998-11-07,PH-VRW,,,,,,,,,,80,80,0,0,,80,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,,,,,,,,,,,,,,,,,,x/c solo
1998-11-07,PH-VRW,,,,,,,,,,50,50,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,,,,,,,,,,,,,,,,,,x/c solo
1998-11-07,PH-VRW,,,,,,,,,,60,60,0,0,,60,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,,,,,,,,,,,,,,,,,,x/c solo
1998-11-08,PH-VRW,,,,,,,,,,85,0,0,0,,0,,,,6,6,0,0,6,0,0,0.0,0.0,,,0,,,,,,,85,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,examentraining A1
1998-11-11,PH-VRW,,,,,,,,,,65,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,65,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,examentraining A1
1998-11-20,PH-VRW,,,,,,,,,,115,115,0,0,,115,,,,3,3,0,0,3,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,,,,,,,,,,,,,,,,,,solo xc
1998-11-22,PH-VRW,,,,,,,,,,150,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,150,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc buitenland
1998-11-22,PH-VRW,,,,,,,,,,125,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,125,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc buitenland
1998-11-27,PH-VRW,,,,,,,,,,95,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,95,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,examentraining A1 + IF
1998-12-02,PH-BVL,,,,,,,,,,70,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,70,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,buitenland nav
1998-12-02,PH-BVL,,,,,,,,,,50,0,0,0,,0,,,,1,1,0,0,1,0,30,0.0,0.0,,,0,,,,,,,50,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,buitenland nav + basic IF
